path,recommendation,reasons,sharpness,brightness,contrast,noise,black_frac,white_frac,aesthetic,is_utility,face_quality,cluster_id,cluster_size,is_keeper,width,height,megapixels,file_bytes,asset_id,error
IMG_0936.HEIC,delete,very_blurry,8.7,188.8,35.9,0.24,0.0,0.0,0.528,False,,-1,1,True,4032,3024,12.19,0,E40689DD-EC87-4B55-9997-2A9F9798F891/L0/001,
IMG_0961.HEIC,delete,very_blurry;low_aesthetic,10.2,149.5,18.5,0.21,0.0,0.0,-0.843,False,,-1,1,True,4032,3024,12.19,0,74192B99-DD13-4A2C-94CF-49CE510A43DE/L0/001,
IMG_0960.HEIC,delete,very_blurry;low_contrast,10.2,133.3,6.2,0.23,0.0,0.0,0.318,False,,-1,1,True,4032,3024,12.19,0,C6B1DE4E-D7F5-489C-8ED8-71C1B172785D/L0/001,
IMG_0125.HEIC,delete,very_blurry;low_aesthetic,10.6,51.0,19.1,0.25,0.0,0.0,-0.575,False,,-1,1,True,3024,4032,12.19,0,28CB6B6F-B0EA-469F-8177-A0665DB98C00/L0/001,
IMG_0935.HEIC,delete,very_blurry,11.5,171.9,30.2,0.2,0.002,0.0,0.551,False,,-1,1,True,4032,3024,12.19,0,17CD2C8A-86CE-4F6E-ACE7-92C57601B560/L0/001,
IMG_0934.HEIC,delete,very_blurry;low_contrast,11.8,141.8,13.1,0.21,0.0,0.0,0.378,False,,-1,1,True,4032,3024,12.19,0,F57C8477-7315-4BD8-87DD-5B8CA7E19B2C/L0/001,
IMG_0141.HEIC,delete,very_blurry,13.9,91.1,65.3,0.39,0.089,0.0,0.33,False,,-1,1,True,2320,3088,7.16,0,FA7AEB02-4CB3-4D74-8902-19996EC2A4C2/L0/001,
IMG_0958.HEIC,delete,very_blurry;low_aesthetic,14.8,152.3,28.6,0.31,0.0,0.0,-0.486,False,,-1,1,True,4032,3024,12.19,0,FC51EF0A-8A2B-49E8-865E-561015F39BA3/L0/001,
IMG_0126.HEIC,delete,very_blurry;dark;low_aesthetic,15.8,44.6,18.7,0.29,0.0,0.0,-0.597,False,,-1,1,True,3024,4032,12.19,0,462FD88B-B90E-4E34-ABAC-37FF547B141F/L0/001,
IMG_0948.HEIC,delete,very_blurry,16.1,151.1,18.5,0.31,0.0,0.0,0.286,False,,98,3,True,4032,3024,12.19,0,9059D96B-AB59-45B9-9933-1C83A1E8A199/L0/001,
IMG_0122.HEIC,delete,very_blurry;low_contrast;low_aesthetic,17.3,52.4,15.5,0.25,0.0,0.0,-0.46,False,,-1,1,True,3024,4032,12.19,0,62C1A0BB-C6E0-4F39-8DA7-7F6AD6F1FD9E/L0/001,
IMG_0959.HEIC,delete,very_blurry;low_contrast,18.2,133.6,5.5,0.23,0.0,0.0,0.41,False,,-1,1,True,4032,3024,12.19,0,2DD65590-D753-4E3C-88AB-B890917D38A0/L0/001,
IMG_0932.HEIC,delete,very_blurry,18.7,101.0,24.8,0.28,0.0,0.0,0.51,False,,-1,1,True,4032,3024,12.19,0,12C6D72C-95AA-4508-A2D7-123053481628/L0/001,
IMG_1162.HEIC,delete,very_blurry,20.0,109.4,60.0,0.49,0.002,0.005,0.383,False,,-1,1,True,4032,3024,12.19,0,E9648012-14DD-498B-9AC4-A153AB76531D/L0/001,
IMG_0931.HEIC,delete,very_blurry,21.5,133.7,28.1,0.27,0.0,0.0,0.676,False,,-1,1,True,4032,3024,12.19,0,469677D2-9C6C-4CBD-A08B-8972247E6049/L0/001,
IMG_0893.HEIC,delete,very_blurry,22.0,132.9,32.4,0.31,0.0,0.0,0.507,False,,104,2,True,4032,3024,12.19,0,A18F8B26-0037-4484-9F86-5CE4BDE0C82D/L0/001,
IMG_0946.HEIC,delete,very_blurry;low_contrast,22.9,132.4,9.5,0.26,0.0,0.0,0.376,False,,-1,1,True,4032,3024,12.19,0,989A1E8F-A04F-4FAC-8D22-636656263EC3/L0/001,
IMG_0917.HEIC,delete,very_blurry,23.2,164.4,33.2,0.33,0.0,0.0,0.375,False,,-1,1,True,4032,3024,12.19,0,4D48261B-74F4-4BEC-B760-35BCB05DE4C1/L0/001,
IMG_0947.HEIC,delete,very_blurry;low_contrast,23.3,132.4,8.8,0.26,0.0,0.0,0.496,False,,-1,1,True,4032,3024,12.19,0,F270DF2A-C9E8-4760-967B-3F87C0220850/L0/001,
IMG_0905.HEIC,delete,very_blurry,24.7,189.0,34.3,0.24,0.0,0.012,0.505,False,,-1,1,True,4032,3024,12.19,0,B3D2EC08-5EEB-4223-9820-B5FBFD40D754/L0/001,
IMG_0915.HEIC,delete,very_blurry,25.1,132.0,38.0,0.3,0.0,0.001,0.589,False,,-1,1,True,4032,3024,12.19,0,75ADACD1-39EF-4BFE-AAC6-FF0F82D4FEFC/L0/001,
IMG_0916.HEIC,delete,very_blurry,25.2,127.2,41.2,0.29,0.0,0.0,0.585,False,,-1,1,True,4032,3024,12.19,0,0DED7056-2DB1-4EDE-8194-1634C01C29B3/L0/001,
IMG_0943.HEIC,delete,very_blurry,26.9,169.5,25.4,0.22,0.0,0.0,0.571,False,,99,2,True,4032,3024,12.19,0,165BF4D1-3811-42A5-803E-F6895DDB465E/L0/001,
moments_09_11_18_04_48.JPG,delete,very_blurry;low_face_quality,28.9,153.5,70.6,0.42,0.0,0.169,0.322,False,0.224,-1,1,True,716,1280,0.92,0,7C9C14E4-9E54-45C2-8130-63A8220E8DAF/L0/001,
IMG_0901.HEIC,delete,very_blurry,30.5,124.8,39.2,0.26,0.0,0.003,0.543,False,,101,2,True,4032,3024,12.19,0,972FA65A-3852-4B1E-9A8C-9CB60E1BC196/L0/001,
IMG_0944.HEIC,delete,very_blurry,32.4,166.3,21.6,0.27,0.001,0.0,0.562,False,,-1,1,True,4032,3024,12.19,0,FDA17F10-3867-4143-94F5-4153C2002082/L0/001,
IMG_0895.HEIC,delete,very_blurry,32.8,131.0,34.5,0.31,0.0,0.0,0.402,False,,103,3,True,4032,3024,12.19,0,589690AE-6205-4FE6-809C-B437A505169B/L0/001,
IMG_0898.HEIC,delete,very_blurry,33.0,122.7,31.4,0.3,0.001,0.0,0.533,False,,102,2,True,4032,3024,12.19,0,FDAE4D3E-B381-4F3D-801D-2C0AF736BFB7/L0/001,
IMG_0883.HEIC,delete,very_blurry,33.2,137.9,47.6,0.44,0.0,0.005,0.57,False,,107,3,True,4032,3024,12.19,0,D500CF9B-430C-4111-BAF5-A1E255761F69/L0/001,
IMG_0951.HEIC,delete,very_blurry,33.3,155.1,25.8,0.31,0.0,0.0,0.274,False,,-1,1,True,4032,3024,12.19,0,5AD88237-2572-4539-9D3B-EE582C10A301/L0/001,
IMG_0930.HEIC,delete,very_blurry,33.3,96.7,24.3,0.3,0.0,0.0,0.474,False,,-1,1,True,4032,3024,12.19,0,F52B1679-122F-4B89-9171-AA30275B99D3/L0/001,
IMG_0139.HEIC,delete,very_blurry,34.8,70.7,62.3,0.38,0.1,0.0,0.445,False,0.523,-1,1,True,2320,3088,7.16,0,E84256F2-56DA-43B6-9075-B943A62BACCE/L0/001,
IMG_0938.HEIC,delete,blurry;low_contrast,45.1,141.3,16.6,0.27,0.001,0.0,0.555,False,,-1,1,True,4032,3024,12.19,0,0477808E-72FD-4937-AD59-85A5FD8DC936/L0/001,
IMG_0701.HEIC,delete,blurry;utility;low_face_quality,75.1,144.6,58.9,0.77,0.015,0.0,0.326,True,0.265,-1,1,True,3024,4032,12.19,0,163EA677-0E09-4B1F-B8FF-5CE2CF91707E/L0/001,
IMG_0706.HEIC,delete,blurry;low_face_quality,94.6,143.9,60.8,0.68,0.017,0.0,0.359,False,0.294,-1,1,True,3024,4032,12.19,0,3ABF2E24-7EDF-4C4B-A9A1-6B79EAF54BE6/L0/001,
IMG_1247.HEIC,delete,low_face_quality,106.5,137.3,57.5,0.36,0.004,0.002,0.488,False,0.18,-1,1,True,4032,3024,12.19,0,B7CD19D1-84E6-4894-AB9B-9405FB37BCE6/L0/001,
IMG_1936.HEIC,delete,low_face_quality,122.5,141.5,65.2,0.63,0.001,0.0,0.346,False,0.213,-1,1,True,3024,4032,12.19,0,5FAFC59A-14DD-495C-8908-DC1596FB00AC/L0/001,
